ec5_uuid;date;1_TIme;2_NC;4_LN_Behavior;5_Contact;6_AR;7_3M;8_Notes;10_MN_Behavior;11_Contact;12_AR;13_3M;14_Notes;16_NH_Behavior;17_Contact;18_AR;19_3M;20_Notes;22_NR_Behavior;23_Contact;24_AR;25_3M;26_Notes;highlight;msm;corrected_msm
0f51ccbf-8473-4097-bfe5-f8a4aca1e59f;2025-05-31;1900-01-01 09:34:00;NO;RS;;NR, NH;;;RS;;;;;RS;;NR, LN;;;RS;;LN, NH;;;red;574;574.0
ac7e7d76-8e7c-400e-ad16-2f8007218611;2025-05-31;1900-01-01 09:36:00;Yes;RS;;NR, NH;;;RS;;;;;RS;;NR, LN;;;RS;;LN, NH;;;green;576;576.0
4534d2e9-dc09-4cc8-a021-c8df0cfed95a;2025-05-31;1900-01-01 09:38:00;NO;RS;;NH, NR;;;SD;;;;;RS;;NR, LN;;;RS;;LN, NH;;;red;578;578.0
0d3bbbd5-1820-4a85-beff-4183047df21b;2025-05-31;1900-01-01 09:40:00;Yes;RS;;NH, NR;;;SD;;;;;RS;;NR, LN;;;RS;;LN, NH;;;green;580;580.0
99de1dc4-21bc-4043-832d-238029e71588;2025-05-31;1900-01-01 09:42:00;Yes;RS;;NH, NR;;;SD;;;;;RS;;NR, LN;;;RS;;LN, NH;;;green;582;582.0
55e02b07-7e94-40ac-adf4-ca9747f6d44e;2025-05-31;1900-01-01 09:44:00;Yes;RS;;NH, NR;;;SD;;;;;RS;;NR, LN;;;RS;;LN, NH;;;green;584;584.0
2e1f6903-c154-4999-ab4d-083db7a0c459;2025-05-31;1900-01-01 09:46:00;NO;RL;;NH;;;M;;;;;;;LN;;;M;;;;;;586;586.0
e7aa0734-8663-41c9-aed0-b5cba8f4cfbe;2025-05-31;1900-01-01 09:48:00;NO;RL;;;NH;;M;;;;Norio Minato play;RS;;;LN;;M;;;;;;588;588.0
38bb9352-9761-41c9-9e94-3693d4a79eca;2025-05-31;1900-01-01 09:50:00;NO;RL;;;NH;;M;;;;;RS;;;LN;;M;;;;;;590;590.0
5a0738ab-bcd4-483f-9983-11b988875401;2025-05-31;1900-01-01 09:52:00;NO;RL;;;NH;;RS;;;;;RS;;;LN;;RS;;;;;red;592;592.0
cf8b9b8b-bbf8-48ad-b077-799da2a4c639;2025-05-31;1900-01-01 09:54:00;Yes;RL;;;NH;;RS;;;;;RS;;;LN;;RS;;;;;green;594;594.0
df3670e6-c3d3-4668-b90e-3f235b736eaf;2025-05-31;1900-01-01 09:56:00;NO;RL;;NH;;;M;;;;;RS;;LN;;;E;;;;;;596;596.0
e0cf1bb7-4e1c-452b-ab5b-981d212e5838;2025-05-31;1900-01-01 09:58:00;NO;RL;;;NH;;SD;;;;;RS;;;LN;;E;;;;;red;598;598.0
68b84dc5-8c7d-4031-a2f8-db24f1a39e20;2025-05-31;1900-01-01 10:00:00;Yes;RL;;;NH;;SD;;;;;RS;;;LN;;E;;;;;green;600;600.0
d0c7dbce-e807-4ae5-8ba9-a6d05d8e67d1;2025-05-31;1900-01-01 10:02:00;Yes;RL;;;NH;;SD;;;;;RS;;;LN;;E;;;;;green;602;602.0
d95b4624-ca90-41ae-adc4-b495063854cb;2025-05-31;1900-01-01 10:04:00;NO;RL;;;NH;;RS;;;;;RS;;;LN;;E;;;;;red;604;604.0
820692dd-66af-45b4-8abc-544d3aa726ce;2025-05-31;1900-01-01 10:06:00;Yes;RL;;;NH;;RS;;;;;RS;;;LN;;E;;;;;green;606;606.0
1628fef3-484f-4632-9806-81f13ffa6339;2025-05-31;1900-01-01 10:08:00;Yes;RL;;;NH;;RS;;;;;RS;;;LN;;E;;;;;green;608;608.0
b7ebf256-2b82-4cee-8937-ad3f2d256f2a;2025-05-31;1900-01-01 10:10:00;NO;RL;;;;;E;;;;;RS;;;;;M;;;;;;610;610.0
9d82a242-b709-4b2f-8ddd-6c2a011f77e5;2025-05-31;1900-01-01 10:12:00;NO;RL;;NR;;;RS;;;;;RS;;;;;RS;;LN;;;;612;612.0
ac55958e-c5d2-488e-a827-c1033280aace;2025-05-31;1900-01-01 10:14:00;NO;E;;;NR;;RS;;;;;RS;;;;;RS;;;LN;;;614;614.0
ee71d9e4-9822-4c5b-bc36-9fb670705445;2025-05-31;1900-01-01 10:16:00;NO;RS;;NR;;;RS;;;;;RS;;;;;RL;;LN;;;red;616;616.0
c40c0870-1ded-440e-b049-1298f3b68ecd;2025-05-31;1900-01-01 10:18:00;Yes;RS;;NR;;;RS;;;;;RS;;;;;RL;;LN;;;green;618;618.0
174504a0-17e0-45c9-84b9-e9814356ddd8;2025-05-31;1900-01-01 10:20:00;NO;RS;;NR;;;RS;;;;;RL;;;;;RL;;LN;;;red;620;620.0
b1779517-1608-4b6a-8828-5613b1af591a;2025-05-31;1900-01-01 10:22:00;Yes;RS;;NR;;;RS;;;;;RL;;;;;RL;;LN;;;green;622;622.0
14ea9b8d-811d-4a22-be12-9ed1f7b9e24e;2025-05-31;1900-01-01 10:24:00;NO;RS;;NR;;;M;;;;;RS;;;;;RL;;LN;;;;624;624.0
7373371d-7419-47c8-8714-4642dcbaba68;2025-05-31;1900-01-01 10:26:00;NO;RS;;;NR;;RS;;;;;RS;;;;;RS;;;LN;;;626;626.0
07f4d5c3-6023-46fe-b3a2-2db8a93122a0;2025-05-31;1900-01-01 10:28:00;NO;M;;NR;;;RS;;;;;RS;;;;;RL;;LN;;;;628;628.0
335fd6fa-ee3e-4b1a-af21-f29ac722cb39;2025-05-31;1900-01-01 10:30:00;NO;RS;;;;;RS;;;;;RS;;;;;RL;;;;;;630;630.0
2125a671-8452-4258-a4b7-faf9f83fa14c;2025-05-31;1900-01-01 10:46:00;NO;RS;;;;;RS;;;;;RS;;;;;RS;;;;;red;646;645.0
