ec5_uuid;date;1_TIme;2_NC;4_MZ_Behavior;5_Contact;6_AR;7_3M;8_Occurence;9_Notes;11_SB_Behavior;12_Contact;13_AR;14_3M;15_Occurence;16_Notes;18_GG_Behavior;19_Contact;20_AR;21_3M;22_Occurence;23_Notes;25_LN_Behavior;26_Contact;27_AR;28_3M;29_Occurence;30_Notes;32_NR_Behavior;33_Contact;34_AR;35_3M;36_Occurence;37_Notes;highlight;msm;corrected_msm
c9d380d5-b05e-4ada-9134-72f632f846d2;2025-04-03;1900-01-01 09:33:00;NO;E;;;;;;E;;;;;;E;;;;;;E;;;;;;E;;;;;;red;573;572.0
3314fb4e-4612-453d-b9a9-2b6a43ea7c90;2025-04-03;1900-01-01 09:35:00;Yes;E;;;;;;E;;;;;;E;;;;;;E;;;;;;E;;;;;;green;575;574.0
cec736ca-e685-4dd9-b49c-cfb5e7a2f3ac;2025-04-03;1900-01-01 09:37:00;NO;E;;LN;NR;;;E;;;;;;E;;;;;;E;;NR, MZ;;;;E;;LN;MZ;;;;577;576.0
63709f39-747f-4c47-bfa2-a82842bb6c47;2025-04-03;1900-01-01 09:39:00;NO;E;;LN, NR;;;;E;;;;;;M;;;;;;E;;MZ;NR;;;E;;MZ;LN;;;;579;578.0
b4ee2836-899d-4ef1-8d4c-21d5d437e9bf;2025-04-03;1900-01-01 09:41:00;NO;E;;LN, NR, GG;;;;E;;;;;;E;;LN, MZ, NR;;;;E;;MZ, NR, GG;;;;E;;MZ, LN, GG;;;;red;581;580.0
b10f6fa6-04a4-47b0-882b-836f70db96b9;2025-04-03;1900-01-01 09:43:00;Yes;E;;LN, NR, GG;;;;E;;;;;;E;;LN, MZ, NR;;;;E;;MZ, NR, GG;;;;E;;MZ, LN, GG;;;;green;583;582.0
27cafdaf-b380-4d59-a986-24a49060d5c9;2025-04-03;1900-01-01 09:45:00;Yes;E;;LN, NR, GG;;;;E;;;;;;E;;LN, MZ, NR;;;;E;;MZ, NR, GG;;;;E;;MZ, LN, GG;;;;green;585;584.0
2977ac1d-31b9-4c0b-b827-9d6eddb4b220;2025-04-03;1900-01-01 09:47:00;Yes;E;;LN, NR, GG;;;;E;;;;;;E;;LN, MZ, NR;;;;E;;MZ, NR, GG;;;;E;;MZ, LN, GG;;;;green;587;586.0
030c06fd-e340-4487-84c6-0e5c9be47c43;2025-04-03;1900-01-01 09:49:00;NO;M;;;;;;E;;;;;;E;;LN;;;;E;;GG;;;;M;;;;;;red;589;588.0
a30f95a0-915c-46af-9a43-6d155a1be355;2025-04-03;1900-01-01 09:51:00;Yes;M;;;;;;E;;;;;;E;;LN;;;;E;;GG;;;;M;;;;;;green;591;590.0
